19,analysis,associated,blood,cancer,care,cells,clinical,covid,data,disease,diseases,health,heart,patients,risk,study,therapy,treatment,use,titre,type_contenu,maladie
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5098400988081347,0.0,0.2022927067827969,0.5918960749705154,0.4934653834259121,0.3244868043921294,Ripasudil for Enhanced Corneal Clearing Following Descemet Membrane Endothelial Keratoplasty in Fuchs' Dystrophy,treatment,eye diseases
0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Climate change and vector-borne diseases: a regional analysis.,other,digestive diseases
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LUNG CANCER MORTALITY, 1986 = MORTALITÉ PAR CANCER DU POUMON, 1986",other,cancer
0.599346674388694,0.3185330265798858,0.0,0.0,0.0,0.0,0.0,0.0,0.599346674388694,0.0,0.0,0.0,0.3902654650423338,0.0,0.0,0.0,0.16672344037829312,0.0,0.0,0.0,Online Information Behavior Regarding COVID-19 Vaccination and Its Association With Vaccination Behavior Based on Cluster Analysis of User Groups: Cross-Sectional Study.,prevention,respiratory diseases
0.0,0.0,0.6346437411245025,0.0,0.0,0.0,0.7728048407272663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PEGylation as a strategy for improving nanoparticle-based drug and gene delivery.,treatment,eye diseases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841009283266961,0.0,0.3003465478591885,0.0,0.21904977073502002,0.0,0.3930808244989773,0.0,0.0,0.0,0.0,0.0,Autoantibodies in long COVID: A mechanistic foothold in a heterogeneous disease.,treatment,respiratory diseases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21616817338844674,0.0,0.0,0.0,0.5658234757924087,0.0,0.4490112203684142,0.6568896703704263,0.0,0.0,A Study to Assess the Safety and Efficacy of Adalimumab When Added to Inadequate Standard Anti-Rheumatic Therapy in Patients With Active Rheumatoid Arthritis,treatment,autoimmune diseases
0.4156360719186624,0.0,0.0,0.0,0.0,0.36190663344170715,0.0,0.0,0.0,0.0,0.0,0.0,0.3247704445401001,0.0,0.0,0.0,0.23123937719777315,0.6765922603870557,0.2820384129186315,0.0,Optimizing Retention in Care and Adherence to Anti-retroviral Therapy Amongst Adolescents Living With HIV in Rwanda,treatment,infectious diseases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full-length transcriptome assembly from RNA-Seq data without a reference genome.,research,cancer
0.0,0.0,0.6654816963851994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4739951374855882,0.0,0.0,0.0,0.0,0.0,0.49227675794033665,0.0,0.30021045119723433,0.0,Activation of Sirt1 by Glyasperin F Suppresses PI3K/Akt/HIF-1α Signaling and Inhibits Glycolytic Metabolism to Ameliorate Pathology in Rheumatoid Arthritis-Associated Interstitial Lung Disease.,research,respiratory diseases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395380779884386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8419612000564762,0.0,0.0,0.0,Clinical Study to Evaluate the Implantation of the ActiGait Drop Foot Stimulator System,treatment,neurological diseases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Laboratory needs for emerging infectious diseases,other,infectious diseases
0.5486774724626599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8230162086939897,0.0,0.1469603737031116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COVID-19 (Coronavirus Disease 2019),prevention,respiratory diseases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6902273902381099,0.0,0.0,0.0,0.45167016831133067,0.0,0.3584244594897003,0.0,0.43716371722984776,0.0,Daily Magnesium-supplement for Severe Asthmatics,treatment,respiratory diseases
0.0,0.35594580050458796,0.0,0.0,0.35594580050458796,0.0,0.4089134739491354,0.0,0.0,0.0,0.4783649550448192,0.35594580050458796,0.0,0.0,0.0,0.0,0.0,0.3634126531100039,0.30297812706004046,0.0,"Ferroptosis: mechanisms, biology and role in disease.",research,heart disease
